,State Case,Age,Sex,Drinking_Involvement,Drugs_involvement,Injury_Severity,Race_Involvement,Rollover,Case Year,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
0,10143,18,1,0,0,2,0,0,2014,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,10143,52,2,0,0,2,0,0,2014,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,10172,18,1,1,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,10063,18,1,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,10129,18,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,10129,34,1,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,10129,36,1,0,0,3,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,10129,57,2,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,10408,18,2,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,10550,18,2,2,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10300,18,2,2,2,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,10279,19,1,0,0,2,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,10270,19,1,0,0,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,10015,19,2,0,0,3,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,10438,19,2,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,10025,20,1,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,10025,46,1,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,10545,20,1,1,1,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,10168,20,1,1,1,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,10700,20,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,10099,20,2,2,2,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,10586,20,2,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,10598,21,1,1,0,2,0,1,2014,Not Reported,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,10720,21,1,0,2,3,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,10334,21,1,1,2,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,10091,21,2,0,0,2,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,10176,21,2,2,2,4,1,0,2014,Not Reported,Dark,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,10274,22,1,0,2,1,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,10219,22,1,0,2,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,10064,22,1,0,0,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,10174,22,2,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,10315,22,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,10417,22,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,10089,22,2,1,0,4,1,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,10089,34,1,0,0,1,0,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,10299,23,1,1,2,2,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,10186,23,1,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,10198,23,1,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,10486,23,2,0,0,2,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,10526,23,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,10141,23,2,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,10042,24,1,0,0,1,0,0,2014,Rain,Dawn/Dusk,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,10042,29,2,0,0,3,0,0,2014,Rain,Dawn/Dusk,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
43,10042,69,1,0,0,1,0,0,2014,Rain,Dawn/Dusk,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,10407,24,1,1,2,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,10246,24,1,2,2,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,10401,24,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,10402,24,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,10189,24,2,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,10277,25,1,1,1,1,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,10445,25,1,2,2,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,10120,25,1,1,2,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,10687,25,1,0,0,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,10150,25,2,2,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,10150,27,1,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,10422,25,2,2,2,4,1,0,2014,Clear,Daylight,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,10053,26,1,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,10412,26,1,1,0,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,10403,26,2,0,0,1,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,10403,56,2,2,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,10673,26,2,2,2,4,1,0,2014,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,10615,27,1,0,1,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,10735,27,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,10435,27,2,1,1,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,10676,28,1,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,10361,28,1,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,10662,28,1,0,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,10662,31,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,10326,28,2,0,0,3,0,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,10326,30,1,0,0,3,0,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
70,10484,28,2,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,10484,40,2,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,10484,55,2,0,0,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,10455,29,1,2,2,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,10004,29,1,0,0,3,0,0,2014,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
75,10727,29,1,1,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,10660,29,2,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,10105,29,2,2,2,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,10105,35,2,2,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,10584,29,2,2,2,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,10595,30,1,0,0,1,0,0,2014,Clear,Daylight,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
81,10552,30,1,2,2,2,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,10655,30,1,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,10238,30,2,0,0,2,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,10159,31,1,1,2,3,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,10159,55,2,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,10086,31,1,1,1,4,1,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87,10010,31,2,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,10010,61,1,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,10016,31,2,0,1,3,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,10483,31,2,0,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,10158,32,1,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,10669,32,1,1,2,2,0,1,2014,Clear,Dark,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
93,10702,32,1,0,2,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,10431,32,1,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,10251,32,2,0,0,3,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,10459,32,2,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,10157,33,1,1,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,10056,33,1,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,10131,33,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,10050,33,2,1,0,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,10528,34,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,10718,34,1,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,10522,34,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,10235,34,2,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,10653,35,1,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,10527,35,1,2,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107,10181,35,1,0,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,10096,35,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,10698,35,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,10409,35,2,2,2,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,10030,36,1,1,2,4,1,1,2014,Rain,Daylight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
112,10639,36,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,10505,36,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,10505,48,1,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,10724,36,2,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,10608,37,1,1,0,3,0,1,2014,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,10389,37,1,0,0,4,1,1,2014,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,10023,37,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,10371,37,2,1,0,3,0,1,2014,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120,10280,37,2,2,1,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,10280,43,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,10456,38,1,0,0,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
